,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
3660,Uhliská,Uhliská,Levice,935 05,Pukanec,Pukanec,402,NI,48.4025828,18.7527137
3661,Úhorná,Úhorná,Gelnica,055 66,Smolník,Smolník,801,KI,48.7053159,20.675309
3662,Uhorská Ves,Uhorská Ves,Liptovský Mikuláš,032 03,Liptovský Ján,Liptovský Ján,505,ZI,49.0594233,19.6818077
3663,Uhorské,Uhorské,Poltár,985 25,Uhorské,Uhorské,607,BC,48.4711097,19.7494629
3664,Uhrovec,Uhrovec,Bánovce nad Bebravou,956 41,Uhrovec,Uhrovec,301,TC,48.74406099999999,18.3378885
3665,Uhrovské Podhradie,Uhrovské Podhradie,Bánovce nad Bebravou,956 41,Uhrovec,Uhrovec,301,TC,48.76360039999999,18.3796621
3666,Újazd,Újazd,Trenčín,913 31,Skalka nad Váhom,Skalka nad Váhom,309,TC,48.9402718,18.0796101
3667,Uľanka,Uľanka,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.7855475,19.1112812
3668,Úľany nad Žitavou,Úľany nad Žitavou,Nové Zámky,941 03,Úľany nad Žitavou,Úľany nad Žitavou,404,NI,48.10599209999999,18.2374048
3669,Ulič,Ulič,Snina,067 67,Ulič,Ulič,709,PV,48.9631913,22.4236834
3670,Uličské Krivé,Uličské Krivé,Snina,067 67,Ulič,Ulič,709,PV,48.9913689,22.4381012
3671,Uloža,Uloža,Levoča,053 71,Vyšné Repaše,Vyšné Repaše,704,PV,49.04335409999999,20.6449521
3672,Uňatín,Uňatín,Krupina,962 41,Bzovík,Bzovík,605,BC,48.2949796,19.0635312
3673,Unín,Unín,Skalica,908 46,Unín pri Skalici,Unín pri Skalici,206,TA,48.7259126,17.2130004
3674,Upohlav,Upohlav,Považská Bystrica,018 01,Udiča,Udiča,306,TC,49.161875,18.3776655
3675,Úpor,Úpor,Trebišov,076 16,Úpor,Úpor,811,KI,48.5800972,21.6693127
3676,Urmince,Urmince,Topoľčany,956 02,Urmince,Urmince,406,NI,48.5340035,18.0977631
3677,Ústie nad Priehradou,Ústie nad Priehradou,Tvrdošín,028 01,Trstená,Trstená,510,ZI,49.3727426,19.5577154
3678,Úsvit,Úsvit,Poprad,059 11,Hozelec,Hozelec,706,PV,49.0518325,20.3780321
3679,Utekáč,Utekáč,Poltár,985 06,Utekáč,Utekáč,607,BC,48.6059328,19.8023583
3680,Uzovce,Uzovce,Sabinov,082 66,Uzovce,Uzovce,708,PV,49.0921455,21.1808564
3681,Uzovská Panica,Uzovská Panica,Rimavská Sobota,980 22,Veľký Blh,Veľký Blh,609,BC,48.4187004,20.142502
3682,Uzovské Pekľany,Uzovské Pekľany,Sabinov,082 63,Jarovnice,Jarovnice,708,PV,49.1027707,21.0977919
3683,Uzovský Šalgov,Uzovský Šalgov,Sabinov,082 61,Ražňany,Ražňany,708,PV,49.0902545,21.0609128
3684,Vaďovce,Vaďovce,Nové Mesto n.Váhom,916 13,Kostolné,Kostolné,304,TC,48.7377724,17.7225901
3685,Vagrinec,Vagrinec,Svidník,090 03,Ladomirová,Ladomirová,712,PV,49.3142109,21.626413
3686,Váhovce,Váhovce,Galanta,925 62,Váhovce,Váhovce,202,TA,48.2515972,17.7804958
3687,Vajka nad Žitavou,Vajka nad Žitavou,Nitra,951 88,Lúčnica nad Žitavou,Lúčnica nad Žitavou,403,NI,48.215024,18.2843336
3688,Vajkovce,Vajkovce,Košice-okolie,044 43,Budimír,Budimír,806,KI,48.7837252,21.3209996
3689,Vajsková,Vajsková,Brezno,976 98,Lopej,Lopej,603,BC,48.82450069999999,19.495736
3690,Valaliky,Valaliky,Košice-okolie,044 13,Valaliky,Valaliky,806,KI,48.64228300000001,21.2918802
3691,Valaská,Valaská,Brezno,,,Pozri zoz.ulíc s PSČ,603,BC,48.8149789,19.574422
3692,Valaská Belá,Valaská Belá,Prievidza,972 28,Valaská Belá,Valaská Belá,307,TC,48.8873635,18.3967988
3693,Valaská Dubová,Valaská Dubová,Ružomberok,034 96,Valaská Dubová,Valaská Dubová,508,ZI,49.1405521,19.2928316
3694,Valaškovce (vojenský obvod),Valaškovce,Humenné,067 83,Kamenica nad Cirochou,Kamenica n/Cirochou,702,PV,48.912735,22.078792
3695,Valča,Valča,Martin,038 35,Valča,Valča,506,ZI,49.00358490000001,18.8424122
3696,Valentová,Valentová,Martin,038 43,Kláštor pod Znievom,Kláštor pod Znievom,506,ZI,48.96410179999999,18.8812973
3697,Valentová,Valentová,Banská Bystrica,976 02,Staré Hory,Staré Hory,601,BC,48.86665,19.1355
3698,Valentovce,Valentovce,Medzilaborce,067 01,Radvaň nad Laborcom,Radvaň nad Laborcom,705,PV,49.17796730000001,21.9522429
3699,Valice,Valice,Rimavská Sobota,982 52,Nižná Kaloša,Nižná Kaloša,609,BC,48.44901549999999,20.196443
3700,Valkovce,Valkovce,Svidník,090 42,Okruhlé,Okruhlé,712,PV,49.1720452,21.5290818
3701,Vaľkovňa,Vaľkovňa,Brezno,976 69,Pohorelá,Pohorelá,603,BC,48.83455,20.0684366
3702,Vaľkovo,Vaľkovo,Poltár,985 03,České Brezovo,České Brezovo,607,BC,48.4688013,19.8239648
3703,Vaniškovce,Vaniškovce,Bardejov,086 41,Raslavice,Raslavice,701,PV,49.163497,21.300289
3704,Vaňovka,Vaňovka,Námestovo,029 52,Hruštín,Hruštín,507,ZI,49.3424373,19.3509478
3705,Vápeník,Vápeník,Svidník,090 02,Kružlová,Kružlová,712,PV,49.393091,21.5403712
3706,Varadka,Varadka,Bardejov,086 36,Nižná Polianka,Nižná Polianka,701,PV,49.4116564,21.3852867
3707,Varechovce,Varechovce,Stropkov,090 23,Havaj,Havaj,711,PV,49.2245363,21.8059212
3708,Varhaňovce,Varhaňovce,Prešov,082 05,Šarišské Bohdanovce,Šarišské Bohdanovce,707,PV,48.8558114,21.3642296
3709,Varín,Varín,Žilina,013 03,Varín,Varín,511,ZI,49.2018616,18.8698556
3710,Varov Šúr,Varov Šúr,Trnava,919 25,Šúrovce,Šúrovce,207,TA,48.3394183,17.7331062
3711,Vasiľov,Vasiľov,Námestovo,029 51,Lokca,Lokca,507,ZI,49.3489276,19.3839272
3712,Vavrečka,Vavrečka,Námestovo,029 01,Námestovo 1,Námestovo 1,507,ZI,49.38436249999999,19.4693964
3713,Vavrinec,Vavrinec,Vranov nad Topľou,094 31,Hanušovce nad Topľou,Hanušovce nad Topľou,713,PV,49.0495678,21.5961355
3714,Vavrišovo,Vavrišovo,Liptovský Mikuláš,032 42,Pribylina,Pribylina,505,ZI,49.0706664,19.7614033
3715,Važec,Važec,Liptovský Mikuláš,032 61,Važec,Važec,505,ZI,49.059605,19.9801243
3716,Včeláre,Včeláre,Košice-okolie,044 02,Turňa nad Bodvou,Turňa nad Bodvou,806,KI,48.5887038,20.8055506
3717,Včelince,Včelince,Rimavská Sobota,980 50,Včelince,Včelince,609,BC,48.3857409,20.3043354
3718,Včelinec,Včelinec,Rimavská Sobota,979 01,Rimavská Sobota 1,Rimavská Sobota 1,609,BC,48.37088,20.01067
3719,Véč,Véč,Trebišov,076 35,Somotor,Somotor,811,KI,48.4121168,21.8093528
3720,Večelkov,Večelkov,Rimavská Sobota,980 34,Nová Bašta,Nová Bašta,609,BC,48.1625726,19.9346194
3721,Vechec,Vechec,Vranov nad Topľou,094 12,Vechec,Vechec,713,PV,48.8724591,21.6243775
3722,Vék,Vék,Komárno,947 01,Hurbanovo 1,Hurbanovo 1,401,NI,47.8584398,18.148023
3723,Veľaty,Veľaty,Trebišov,076 15,Veľaty,Veľaty,811,KI,48.5213454,21.6614713
3724,Velčice,Velčice,Trenčín,913 04,Chocholná-Velčice,Chocholná-Velčice,309,TC,48.8600714,17.9408451
3725,Velčice,Velčice,Zlaté Moravce,951 71,Sľažany,Sľažany,407,NI,48.4149993,18.3039073
3726,Veličná,Veličná,Dolný Kubín,027 54,Veličná,Veličná,503,ZI,49.20529699999999,19.244737
3727,Veľká,Veľká,Poprad,058 01,Poprad 1,Poprad 1,706,PV,49.0668787,20.2819193
3728,Veľká Bara,Veľká Bara,Trebišov,076 32,Borša,Borša,811,KI,48.42836339999999,21.7166007
3729,Veľká Budafa,Veľká Budafa,Dunajská Streda,930 34,Holice na Ostrove,Holice na Ostrove,201,TA,47.9917695,17.4650603
3730,Veľká Bytča,Veľká Bytča,Bytča,014 01,Bytča 1,Bytča 1,501,ZI,49.22402599999999,18.5591584
3731,Veľká Čalomija,Veľká Čalomija,Veľký Krtíš,991 09,Veľká Čalomija,Veľká Čalomija,610,BC,48.06928689999999,19.2019512
3732,Veľká Čausa,Veľká Čausa,Prievidza,971 01,Prievidza 1,Prievidza 1,307,TC,48.7745206,18.6245383
3733,Veľká Čierna,Veľká Čierna,Žilina,015 01,Rajec nad Rajčiankou,Rajec nad Rajčiankou,511,ZI,49.0920976,18.5898414
3734,Veľká Dolina,Veľká Dolina,Nitra,951 15,Mojmírovce,Mojmírovce,403,NI,48.1837644,18.0321135
3735,Veľká Dolina,Veľká Dolina,Lučenec,985 53,Mýtna,Mýtna,606,BC,48.52017,19.56496
3736,Veľká Franková,Veľká Franková,Kežmarok,059 78,Veľká Franková,Veľká Franková,703,PV,49.3357699,20.2978187
3737,Veľká Gúta,Veľká Gúta,Komárno,946 03,Kolárovo,Kolárovo,401,NI,47.92354,18.0364
3738,Veľká Hradná,Veľká Hradná,Trenčín,913 24,Svinná,Svinná,309,TC,48.7700942,18.1399622
3739,Veľká Ida,Veľká Ida,Košice-okolie,044 55,Veľká Ida,Veľká Ida,806,KI,48.589272,21.171949
3740,Veľká Lehota,Veľká Lehota,Prievidza,972 42,Lehota pod Vtáčnikom,Lehota pod Vtáčnikom,307,TC,48.69627,18.59955
3741,Veľká Lehota,Veľká Lehota,Žarnovica,966 41,Veľká Lehota pri Novej Bani,V.Lehota pri N.Bani,612,BC,48.45803369999999,18.5593774
3742,Veľká Lesná,Veľká Lesná,Stará Ľubovňa,065 34,Veľká Lesná,Veľká Lesná,710,PV,49.3341834,20.4369567
3743,Veľká Lodina,Veľká Lodina,Košice-okolie,044 81,Kysak,Kysak,806,KI,48.8596751,21.1565921
3744,Veľká Lomnica,Veľká Lomnica,Kežmarok,059 52,Veľká Lomnica,Veľká Lomnica,703,PV,49.1134721,20.3576211
3745,Veľká Lúč,Veľká Lúč,Dunajská Streda,930 03,Kráľovičove Kračany,Kráľovičove Kračany,201,TA,47.9735581,17.5237324
3746,Veľká Lúka,Veľká Lúka,Zvolen,962 31,Sliač,Sliač,611,BC,48.629669,19.16827
3747,Veľká Mača,Veľká Mača,Galanta,925 32,Veľká Mača,Veľká Mača,202,TA,48.2435603,17.6922735
3748,Veľká Maňa,Veľká Maňa,Nové Zámky,941 45,Maňa,Maňa,404,NI,48.1521652,18.2867525
3749,Veľká nad Ipľom,Veľká nad Ipľom,Lučenec,985 32,Veľká nad Ipľom,Veľká nad Ipľom,606,BC,48.2637241,19.6181179
3750,Veľká Paka,Veľká Paka,Dunajská Streda,930 51,Veľká Paka,Veľká Paka,201,TA,48.0404864,17.40698
3751,Veľká Suchá,Veľká Suchá,Poltár,980 13,Hrnčiarska Ves,Hrnčiarska Ves,607,BC,48.431333,19.8602292
3752,Veľká Tŕňa,Veľká Tŕňa,Trebišov,076 82,Veľká Tŕňa,Veľká Tŕňa,811,KI,48.4677347,21.6785973
3753,Veľká Ves,Veľká Ves,Nitra,951 13,Branč,Branč,403,NI,48.2205571,18.1428884
3754,Veľká Ves,Veľká Ves,Poltár,985 01,Kalinovo,Kalinovo,607,BC,48.38101590000001,19.675044
3755,Veľká Ves nad Ipľom,Veľká Ves nad Ipľom,Veľký Krtíš,991 10,Veľká Ves nad Ipľom,Veľká Ves nad Ipľom,610,BC,48.07969,19.0850624
3756,Veľké Bedzany,Veľké Bedzany,Topoľčany,955 01,Topoľčany 1,Topoľčany 1,406,NI,48.6074675,18.1516432
3757,Veľké Bielice,Veľké Bielice,Partizánske,958 04,Partizánske 1,Partizánske 1,305,TC,48.6333932,18.3525012
3758,Veľké Bierovce,Veľké Bierovce,Trenčín,913 11,Trenčianske Stankovce,Trenč.Stankovce,309,TC,48.8524988,17.9830699
3759,Veľké Blahovo,Veľké Blahovo,Dunajská Streda,930 01,Veľké Blahovo,Veľké Blahovo,201,TA,48.0099792,17.5795737
3760,Veľké Borové,Veľké Borové,Liptovský Mikuláš,027 32,Zuberec,Zuberec,505,ZI,49.19789590000001,19.5194538
3761,Veľké Dálovce,Veľké Dálovce,Lučenec,985 32,Veľká nad Ipľom,Veľká nad Ipľom,606,BC,48.25638319999999,19.6088919
3762,Veľké Dravce,Veľké Dravce,Lučenec,985 42,Veľké Dravce,Veľké Dravce,606,BC,48.3459791,19.8397266
3763,Veľké Držkovce,Veľké Držkovce,Bánovce nad Bebravou,956 54,Veľké Držkovce,Veľké Držkovce,301,TC,48.7338258,18.1814147
3764,Veľké Dvorany,Veľké Dvorany,Topoľčany,956 01,Bojná,Bojná,406,NI,48.56029789999999,18.0690372
3765,Veľké Dvorníky,Veľké Dvorníky,Dunajská Streda,929 01,Dunajská Streda 1,Dunajská Streda 1,201,TA,47.9998595,17.6535772
3766,Veľké Hoste,Veľké Hoste,Bánovce nad Bebravou,956 38,Šišov,Šišov,301,TC,48.6791859,18.15852
3767,Veľké Chlievany,Veľké Chlievany,Bánovce nad Bebravou,956 55,Veľké Chlievany,Veľké Chlievany,301,TC,48.7038295,18.226666
3768,Veľké Chyndice,Veľké Chyndice,Nitra,951 54,Malé Chyndice,Malé Chyndice,403,NI,48.2895419,18.2853191
3769,Veľké Kapušany,Veľké Kapušany,Michalovce,079 01,Veľké Kapušany,Veľké Kapušany,807,KI,48.5538608,22.0749232
3770,Veľké Kosihy,Veľké Kosihy,Komárno,946 21,Veľké Kosihy,Veľké Kosihy,401,NI,47.7578814,17.8833979
3771,Veľké Kostoľany,Veľké Kostoľany,Piešťany,922 07,Veľké Kostoľany,Veľké Kostoľany,204,TA,48.5104742,17.7227604
3772,Veľké Košecké Podhradie,Veľké Košecké Podhra,Ilava,018 31,Košecké Podhradie,Košecké Podhradie,302,TC,48.977869,18.3149272
3773,Veľké Kozmálovce,Veľké Kozmálovce,Levice,935 21,Tlmače 1,Tlmače 1,402,NI,48.272199,18.5369847
3774,Veľké Krškany,Veľké Krškany,Levice,934 01,Levice 1,Levice 1,402,NI,48.21233369999999,18.6745233
3775,Veľké Kršteňany,Veľké Kršteňany,Partizánske,958 03,Partizánske 1,Partizánske 1,305,TC,48.628493,18.3768911
3776,Veľké Leváre,Veľké Leváre,Malacky,908 73,Veľké Leváre,Veľké Leváre,106,BL,48.503181,17.0016977
3777,Veľké Lovce,Veľké Lovce,Nové Zámky,941 42,Veľké Lovce,Veľké Lovce,404,NI,48.06089310000001,18.3344586
3778,Veľké Ludince,Veľké Ludince,Levice,935 65,Veľké Ludince,Veľké Ludince,402,NI,47.9635271,18.5089229
3779,Veľké Orvište,Veľké Orvište,Piešťany,922 01,Ostrov pri Piešťanoch,Ostrov pri Piešťan.,204,TA,48.61958629999999,17.7945753
3780,Veľké Ostratice,Veľké Ostratice,Partizánske,956 34,Ostratice,Ostratice,305,TC,48.6454675,18.2787624
3781,Veľké Ozorovce,Veľké Ozorovce,Trebišov,078 01,Sečovce,Sečovce,811,KI,48.66288470000001,21.6117411
3782,Veľké Pole,Veľké Pole,Žarnovica,966 74,Veľké Pole,Veľké Pole,612,BC,48.54105029999999,18.5644447
3783,Veľké Raškovce,Veľké Raškovce,Michalovce,076 75,Oborín,Oborín,807,KI,48.5554104,21.9107778
3784,Veľké Revištia,Veľké Revištia,Sobrance,072 43,Veľké Revištia,Veľké Revištia,809,KI,48.7455671,22.0930346
3785,Veľké Ripňany,Veľké Ripňany,Topoľčany,956 07,Veľké Ripňany,Veľké Ripňany,406,NI,48.4985393,17.9778093
3786,Veľké Rovné,Veľké Rovné,Bytča,013 62,Veľké Rovné,Veľké Rovné,501,ZI,49.2913454,18.5833672
3787,Veľké Slemence,Veľké Slemence,Michalovce,076 77,Ruská,Ruská,807,KI,48.5095927,22.1470467
3788,Veľké Stankovce,Veľké Stankovce,Trenčín,913 11,Trenčianske Stankovce,Trenč.Stankovce,309,TC,48.8849303,18.0335275
3789,Veľké Straciny,Veľké Straciny,Veľký Krtíš,990 01,Veľký Krtíš,Veľký Krtíš,610,BC,48.1962753,19.3953599
3790,Veľké Teriakovce,Veľké Teriakovce,Rimavská Sobota,980 51,Veľké Teriakovce,Veľké Teriakovce,609,BC,48.4333882,19.9665304
3791,Veľké Trakany,Veľké Trakany,Trebišov,076 42,Veľké Trakany,Veľké Trakany,811,KI,48.3928146,22.0938849
3792,Veľké Turovce,Veľké Turovce,Levice,935 81,Horné Turovce,Horné Turovce,402,NI,48.107957,18.9457578
3793,Veľké Uherce,Veľké Uherce,Partizánske,958 41,Veľké Uherce,Veľké Uherce,305,TC,48.6076584,18.4362231
3794,Veľké Úľany,Veľké Úľany,Galanta,925 22,Veľké Úľany,Veľké Úľany,202,TA,48.165782,17.5770169
3795,Veľké Vozokany,Veľké Vozokany,Zlaté Moravce,951 82,Malé Vozokany,Malé Vozokany,407,NI,48.32079530000001,18.4112353
3796,Veľké Zalužice,Veľké Zalužice,Michalovce,072 34,Zalužice,Zalužice,807,KI,48.75723,21.9781799
3797,Veľké Zálužie,Veľké Zálužie,Nitra,951 35,Veľké Zálužie,Veľké Zálužie,403,NI,48.3095662,17.9389925
3798,Veľké Zlievce,Veľké Zlievce,Veľký Krtíš,991 23,Veľké Zlievce,Veľké Zlievce,610,BC,48.2005363,19.4540335
3799,Veľkrop,Veľkrop,Stropkov,091 01,Stropkov,Stropkov,711,PV,49.2401017,21.7472597
3800,Veľký Báb,Veľký Báb,Nitra,951 34,Báb,Báb,403,NI,48.3119323,17.8736903
3801,Veľký Biel,Veľký Biel,Senec,900 24,Veľký Biel,Veľký Biel,108,BL,48.2142558,17.3605705
3802,Veľký Blh,Veľký Blh,Rimavská Sobota,980 22,Veľký Blh,Veľký Blh,609,BC,48.4450087,20.1170115
3803,Veľký Bysterec,Veľký Bysterec,Dolný Kubín,026 01,Dolný Kubín 1,Dolný Kubín 1,503,ZI,49.2112643,19.2841146
3804,Veľký Cetín,Veľký Cetín,Nitra,951 05,Veľký Cetín,Veľký Cetín,403,NI,48.2173996,18.1887864
3805,Veľký Čepčín,Veľký Čepčín,Turčianske Teplice,038 45,Malý Čepčín,Malý Čepčín,509,ZI,48.89438209999999,18.8091759
3806,Veľký Ďur,Veľký Ďur,Levice,935 34,Veľký Ďur,Veľký Ďur,402,NI,48.2072162,18.4456568
3807,Veľký Dvor,Veľký Dvor,Levice,937 01,Želiezovce,Želiezovce,402,NI,48.0414757,18.5981754
3808,Veľký Folkmar,Veľký Folkmar,Gelnica,055 51,Veľký Folkmar,Veľký Folkmar,801,KI,48.8565497,21.0136797
3809,Veľký Grob,Veľký Grob,Galanta,925 27,Veľký Grob,Veľký Grob,202,TA,48.2510342,17.4939194
3810,Veľký Harčáš,Veľký Harčáš,Komárno,945 01,Komárno 1,Komárno 1,401,NI,47.743954,18.177181
3811,Veľký Horeš,Veľký Horeš,Trebišov,076 52,Veľký Horeš,Veľký Horeš,811,KI,48.385659,21.9070419
3812,Veľký Kamenec,Veľký Kamenec,Trebišov,076 36,Veľký Kamenec,Veľký Kamenec,811,KI,48.3616079,21.805943
3813,Veľký Klíž,Veľký Klíž,Partizánske,958 45,Veľký Klíž,Veľký Klíž,305,TC,48.5511227,18.3666105
3814,Veľký Kolačín,Veľký Kolačín,Ilava,018 51,Nová Dubnica,Nová Dubnica,302,TC,48.9350763,18.1656536
3815,Veľký Krtíš,Veľký Krtíš,Veľký Krtíš,990 01,Veľký Krtíš,Veľký Krtíš,610,BC,48.2083529,19.3507661
3816,Veľký Kýr,Veľký Kýr,Nové Zámky,941 07,Veľký Kýr,Veľký Kýr,404,NI,48.1833341,18.155778
3817,Veľký Lapáš,Veľký Lapáš,Nitra,951 04,Veľký Lapáš,Veľký Lapáš,403,NI,48.2901154,18.1857137
3818,Veľký Lég,Veľký Lég,Dunajská Streda,930 37,Lehnice,Lehnice,201,TA,48.05379509999999,17.4601645
3819,Veľký Lél,Veľký Lél,Komárno,946 12,Zlatná na Ostrove,Zlatná na Ostrove,401,NI,47.75814,17.94593
3820,Veľký Lipník,Veľký Lipník,Stará Ľubovňa,065 33,Veľký Lipník,Veľký Lipník,710,PV,49.3736817,20.502978
3821,Veľký Lom,Veľký Lom,Veľký Krtíš,991 03,Pôtor,Pôtor,610,BC,48.339668,19.3713302
3822,Veľký Meder,Veľký Meder,Dunajská Streda,932 01,Veľký Meder,Veľký Meder,201,TA,47.8563614,17.7703876
3823,Veľký Ostrov,Veľký Ostrov,Komárno,946 03,Kolárovo,Kolárovo,401,NI,47.95855599999999,17.9075476
3824,Veľký Pesek,Veľký Pesek,Levice,937 01,Želiezovce,Želiezovce,402,NI,48.07765269999999,18.7164493
3825,Veľký Ruskov,Veľký Ruskov,Trebišov,075 01,Trebišov 1,Trebišov 1,811,KI,48.62849139999999,21.7155658
3826,Veľký Slavkov,Veľký Slavkov,Poprad,059 91,Veľký Slavkov,Veľký Slavkov,706,PV,49.095765,20.2794889
3827,Veľký Slivník,Veľký Slivník,Prešov,082 67,Terňa,Terňa,707,PV,49.1135593,21.2749399
3828,Veľký Šariš,Veľký Šariš,Prešov,082 21,Veľký Šariš,Veľký Šariš,707,PV,49.0421598,21.1989581
3829,Veľopolie,Veľopolie,Humenné,067 31,Udavské,Udavské,702,PV,48.932454,21.9078917
3830,Velušovce,Velušovce,Topoľčany,955 01,Topoľčany 1,Topoľčany 1,406,NI,48.6295592,18.0969701
3831,Vernár,Vernár,Poprad,059 17,Vernár,Vernár,706,PV,48.9178564,20.2705818
3832,Veselá,Veselá,Levice,935 52,Šarovce,Šarovce,402,NI,48.1200939,18.6100638
3833,Veselé,Veselé,Piešťany,922 08,Veselé pri Piešťanoch,Veselé pri Piešťan.,204,TA,48.5481355,17.7330618
3834,Veterná Poruba,Veterná Poruba,Liptovský Mikuláš,031 04,Liptovský Mikuláš 4,Liptovský Mikuláš 4,505,ZI,49.1090635,19.6763105
3835,Vidiná,Vidiná,Lučenec,985 59,Vidiná,Vidiná,606,BC,48.3286673,19.6690601
3836,Vidov Vrch,Vidov Vrch,Zvolen,962 63,Pliešovce 1,Pliešovce 1,611,BC,48.38819,19.23083
3837,Vidová,Vidová,Rožňava,049 11,Plešivec,Plešivec,808,KI,48.5640756,20.4409551
3838,Vidovany,Vidovany,Skalica,908 62,Dubovce pri Skalici,Dubovce pri Skalici,206,TA,48.77176919999999,17.2541956
3839,Vieska,Vieska,Prievidza,972 45,Bystričany,Bystričany,307,TC,48.6707766,18.5154415
3840,Vieska,Vieska,Veľký Krtíš,991 02,Dolná Strehová,Dolná Strehová,610,BC,48.261273,19.4659238
3841,Vieska,Vieska,Dunajská Streda,930 02,Orechová Potôň,Orechová Potôň,201,TA,48.0027964,17.5282267
3842,Vieska,Vieska,Nové Mesto n.Váhom,916 26,Považany,Považany,304,TC,48.69911,17.85447
3843,Vieska,Vieska,Skalica,908 63,Radošovce,Radošovce,206,TA,48.76582399999999,17.2794331
3844,Vieska,Vieska,Žiar nad Hronom,965 01,Žiar nad Hronom 1,Žiar nad Hronom 1,613,BC,48.5905012,18.8548946
3845,Vieska - Bezdedov,Vieska - Bezdedov,Púchov,020 01,Púchov 1,Púchov 1,308,TC,49.1340041,18.2987333
3846,Vieska nad Blhom,Vieska nad Blhom,Rimavská Sobota,980 21,Bátka,Bátka,609,BC,48.3513441,20.1984054
3847,Vieska nad Žitavou,Vieska nad Žitavou,Zlaté Moravce,951 52,Slepčany,Slepčany,407,NI,48.317603,18.3596236
3848,Vígľaš,Vígľaš,Detva,,,Pozri zoz.ulíc s PSČ,604,BC,48.5549522,19.2882078
3849,Vígľaš - Pstruša,Vígľaš - Pstruša,Detva,,,Pozri zoz.ulíc s PSČ,604,BC,48.5457634,19.3202123
3850,Vígľašská Huta,Vígľašská Huta,Detva,962 25,Slatinské Lazy,Slatinské Lazy,604,BC,48.4863468,19.2734919
3851,Vikartovce,Vikartovce,Poprad,059 19,Vikartovce,Vikartovce,706,PV,48.9938668,20.1538774
3852,Vinica,Vinica,Veľký Krtíš,991 28,Vinica,Vinica,610,BC,48.1166183,19.1199756
3853,Vinice,Vinice,Rimavská Sobota,979 01,Rimavská Sobota 1,Rimavská Sobota 1,609,BC,48.38858,20.05737
3854,Viničky,Viničky,Trebišov,076 31,Streda nad Bodrogom,Streda nad Bodrogom,811,KI,48.3985289,21.7434843
3855,Viničné,Viničné,Pezinok,900 23,Viničné pri Pezinku,Viničné pri Pezinku,107,BL,48.2722026,17.3012946
3856,Vinné,Vinné,Michalovce,072 31,Vinné,Vinné,807,KI,48.80867569999999,21.9661553
3857,Vinodol,Vinodol,Nitra,951 06,Vinodol,Vinodol,403,NI,48.1919619,18.2103382
3858,Vinohrádok,Vinohrádok,Malacky,901 01,Malacky,Malacky,106,BL,48.4196,16.9966
3859,Vinohrady nad Váhom,Vinohrady nad Váhom,Galanta,925 55,Vinohrady nad Váhom,Vinohrady nad Váhom,202,TA,48.3186988,17.7606655
3860,Vinosady,Vinosady,Pezinok,902 01,Pezinok 1,Pezinok 1,107,BL,48.3095335,17.2875579
3861,Violín,Violín,Komárno,946 02,Čalovec,Čalovec,401,NI,47.84161020000001,17.96557
3862,Virt,Virt,Komárno,946 38,Radvaň nad Dunajom,Radvaň nad Dunajom,401,NI,47.7526354,18.3241528
3863,Vislanka,Vislanka,Stará Ľubovňa,065 41,Ľubotín,Ľubotín,710,PV,49.2344715,20.8612996
3864,Vislava,Vislava,Stropkov,090 21,Chotča,Chotča,711,PV,49.2786003,21.662418
3865,Visolaje,Visolaje,Púchov,018 61,Beluša,Beluša,308,TC,49.0705536,18.3637074
3866,Višňov,Višňov,Trebišov,076 61,Bačkov,Bačkov,811,KI,48.7488413,21.6689373
3867,Višňové,Višňové,Revúca,982 62,Gemerská Ves,Gemerská Ves,608,BC,48.5157572,20.1864905
3868,Višňové,Višňové,Nové Mesto n.Váhom,916 16,Krajné,Krajné,304,TC,48.7259059,17.7528619
3869,Višňové,Višňové,Bytča,013 55,Štiavnik,Štiavnik,501,ZI,49.23059,18.46989
3870,Višňové,Višňové,Žilina,013 23,Višňové pri Žiline,Višňové pri Žiline,511,ZI,49.1628833,18.7791476
3871,Vištuk,Vištuk,Pezinok,900 85,Vištuk,Vištuk,107,BL,48.3345705,17.395297
3872,Vitálišovce,Vitálišovce,Liptovský Mikuláš,031 04,Liptovský Mikuláš 4,Liptovský Mikuláš 4,505,ZI,49.08840199999999,19.6504368
3873,Vitanová,Vitanová,Tvrdošín,027 12,Liesek,Liesek,510,ZI,49.3542201,19.7316443
3874,Víťaz,Víťaz,Prešov,082 38,Víťaz,Víťaz,707,PV,48.97116519999999,20.9546432
3875,Víťazovce,Víťazovce,Humenné,067 24,Lukačovce pri Humennom,Lukačovce pri Humen.,702,PV,49.0101713,21.801299
3876,Vítkovce,Vítkovce,Spišská Nová Ves,053 63,Spišský Hrušov,Spišský Hrušov,810,KI,48.9285359,20.7208571
3877,Vlača,Vlača,Vranov nad Topľou,094 31,Hanušovce nad Topľou,Hanušovce nad Topľou,713,PV,49.0494603,21.5104235
3878,Vladiča,Vladiča,Stropkov,090 23,Havaj,Havaj,711,PV,49.2913054,21.7746847
3879,Vlachovo,Vlachovo,Rožňava,049 24,Vlachovo,Vlachovo,808,KI,48.7732189,20.41181
