,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
2490,Ondrejovce,Ondrejovce,Levice,935 51,Tekovský Hrádok,Tekovský Hrádok,402,NI,48.1349768,18.5100824
2491,Ondrochov,Ondrochov,Nové Zámky,941 02,Lipová pri Nových Zámkoch,Lipová pri N.Zámkoch,404,NI,48.1253602,18.1823192
2492,Opátka,Opátka,Košice-okolie,044 65,Košická Belá,Košická Belá,806,KI,48.78733159999999,21.058791
2493,Opatová,Opatová,Lučenec,984 01,Lučenec 1,Lučenec 1,606,BC,48.3397981,19.6805657
2494,Opatová,Opatová,Levice,935 25,Nová Dedina pri Leviciach,N.Dedina pri Levic.,402,NI,48.2793776,18.6422358
2495,Opatová,Opatová,Trenčín,911 01,Trenčín 1,Trenčín 1,309,TC,48.9137262,18.0931512
2496,Opatovce,Opatovce,Trenčín,913 11,Trenčianske Stankovce,Trenč.Stankovce,309,TC,48.8596274,17.9772126
2497,Opatovce - Výčapy,Opatovce - Výčapy,Nitra,951 44,Výčapy-Opatovce,Výčapy-Opatovce,403,NI,48.4076985,18.0857046
2498,Opatovce nad Nitrou,Opatovce nad Nitrou,Prievidza,972 02,Opatovce nad Nitrou,Opatovce nad Nitrou,307,TC,48.7625773,18.5708411
2499,Opatové Moravce,Opatové Moravce,Krupina,962 71,Dudince,Dudince,605,BC,48.1867321,18.8425831
2500,Opatovská Nová Ves,Opatovská Nová Ves,Veľký Krtíš,991 07,Slovenské Ďarmoty,Slovenské Ďarmoty,610,BC,48.1146553,19.2763102
2501,Opatovský Sokolec,Opatovský Sokolec,Dunajská Streda,930 28,Okoč,Okoč,201,TA,47.8994869,17.8047354
2502,Opava,Opava,Veľký Krtíš,991 25,Čebovce,Čebovce,610,BC,48.1948386,19.1777663
2503,Opiná,Opiná,Košice-okolie,044 47,Kecerovce,Kecerovce,806,KI,48.8535311,21.42683
2504,Opoj,Opoj,Trnava,919 32,Opoj,Opoj,207,TA,48.30365399999999,17.6425405
2505,Oponice,Oponice,Topoľčany,956 14,Oponice,Oponice,406,NI,48.4680045,18.1442106
2506,Oravce,Oravce,Banská Bystrica,976 33,Poniky,Poniky,601,BC,48.6848062,19.263625
2507,Orávka,Orávka,Rimavská Sobota,980 42,Rimavská Seč,Rimavská Seč,609,BC,48.3097479,20.1944642
2508,Oravská Jasenica,Oravská Jasenica,Námestovo,029 64,Oravská Jasenica,Oravská Jasenica,507,ZI,49.3886262,19.4359288
2509,Oravská Lesná,Oravská Lesná,Námestovo,029 57,Oravská Lesná,Oravská Lesná,507,ZI,49.3688894,19.1853401
2510,Oravská Polhora,Oravská Polhora,Námestovo,029 47,Oravská Polhora,Oravská Polhora,507,ZI,49.5217232,19.4461263
2511,Oravská Poruba,Oravská Poruba,Dolný Kubín,027 54,Veličná,Veličná,503,ZI,49.1942773,19.2674378
2512,Oravské Veselé,Oravské Veselé,Námestovo,029 62,Oravské Veselé,Oravské Veselé,507,ZI,49.4673439,19.3829532
2513,Oravský Biely Potok,Oravský Biely Potok,Tvrdošín,027 42,Podbiel,Podbiel,510,ZI,49.2859179,19.5523362
2514,Oravský Podzámok,Oravský Podzámok,Dolný Kubín,027 41,Oravský Podzámok,Oravský Podzámok,503,ZI,49.2620476,19.3568241
2515,Ordzovany,Ordzovany,Levoča,053 06,Bijacovce,Bijacovce,704,PV,49.0352452,20.7864816
2516,Orechová,Orechová,Sobrance,072 51,Krčava,Krčava,809,KI,48.7053703,22.2257683
2517,Orechová Potôň,Orechová Potôň,Dunajská Streda,930 02,Orechová Potôň,Orechová Potôň,201,TA,48.01837099999999,17.534563
2518,Orechová Potôň - Lúky,Orechová Potôň-Lúky,Dunajská Streda,930 52,Blahová,Blahová,201,TA,48.08164,17.6187
2519,Orechové,Orechové,Trenčín,911 05,Trenčín 5,Trenčín 5,309,TC,48.903583,18.0364156
2520,Oreské,Oreské,Skalica,908 63,Radošovce,Radošovce,206,TA,48.74542659999999,17.3038019
2521,Oreské,Oreské,Michalovce,072 23,Staré,Staré,807,KI,48.8598648,21.9042444
2522,Orešany,Orešany,Topoľčany,956 06,Šalgovce,Šalgovce,406,NI,48.5111737,17.899246
2523,Orkucany,Orkucany,Sabinov,083 01,Sabinov,Sabinov,708,PV,49.0883986,21.112442
2524,Orlov,Orlov,Stará Ľubovňa,065 43,Orlov nad Popradom,Orlov nad Popradom,710,PV,49.2831667,20.8688435
2525,Orlové,Orlové,Považská Bystrica,017 01,Považská Bystrica 1,Považská Bystrica 1,306,TC,49.127852,18.4315546
2526,Orovnica,Orovnica,Žarnovica,966 52,Tekovská Breznica,Tekovská Breznica,612,BC,48.3888002,18.5935729
2527,Ortáše,Ortáše,Košice-okolie,044 44,Kráľovce pri Košiciach,Kráľovce pri Koš.,806,KI,48.8302619,21.358377
2528,Ortov,Ortov,Michalovce,072 14,Pavlovce nad Uhom,Pavlovce nad Uhom,807,KI,48.58435979999999,22.0974297
2529,Ortuťová,Ortuťová,Bardejov,086 12,Kurima,Kurima,701,PV,49.2695474,21.4559103
2530,Osádka,Osádka,Dolný Kubín,026 01,Dolný Kubín 1,Dolný Kubín 1,503,ZI,49.1843059,19.3844886
2531,Osadné,Osadné,Snina,067 34,Nižná Jablonka,Nižná Jablonka,709,PV,49.1430977,22.1522914
2532,Osikov,Osikov,Bardejov,086 42,Hertník,Hertník,701,PV,49.1748483,21.263815
2533,Oslany,Oslany,Prievidza,972 47,Oslany,Oslany,307,TC,48.6303068,18.4689788
2534,Osrblie,Osrblie,Brezno,976 45,Hronec,Hronec,603,BC,48.7552932,19.5259227
2535,Ostrá Lúka,Ostrá Lúka,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.5449732,19.0522606
2536,Ostrany,Ostrany,Rimavská Sobota,980 26,Lukovištia,Lukovištia,609,BC,48.49516,20.0478011
2537,Ostratice,Ostratice,Partizánske,956 34,Ostratice,Ostratice,305,TC,48.6441023,18.280778
2538,Ostrov,Ostrov,Piešťany,922 01,Ostrov pri Piešťanoch,Ostrov pri Piešťan.,204,TA,48.62926359999999,17.7676268
2539,Ostrov,Ostrov,Sobrance,072 55,Porostov,Porostov,809,KI,48.7177877,22.1642758
2540,Ostrovany,Ostrovany,Sabinov,082 22,Šarišské Michaľany,Šarišské Michaľany,708,PV,49.0623442,21.1166699
2541,Ostrý Grúň,Ostrý Grúň,Žarnovica,966 77,Ostrý Grúň,Ostrý Grúň,612,BC,48.5619392,18.6633698
2542,Osturňa,Osturňa,Kežmarok,059 79,Osturňa,Osturňa,703,PV,49.3363024,20.2416561
